url;origin;claim;rating;year
https://eufactcheck.eu/factcheck/mostly-true-germany-has-not-let-only-urgently-needed-specialists-into-the-country/;;Germany has not let only urgently needed specialists into the country;MOSTLY TRUE;2022
https://eufactcheck.eu/factcheck/mostly-true-in-2023-germany-lacks-15-to-20-gigawatt-of-secured-power-output/;https://www.tagesschau.de/wirtschaft/energie/energiewende-windkraft-dunkelflaute-winter-versorgungsluecke-101.html;In 2023, Germany lacks 15 to 20 gigawatt of secured power output;MOSTLY TRUE;2022
https://eufactcheck.eu/factcheck/false-spains-chamber-of-deputies-is-the-most-equal-in-the-european-union/;;Spain’s Chamber of Deputies is the most equal in the European Union;FALSE;2022
https://eufactcheck.eu/factcheck/true-omicron-spreads-much-faster-than-other-strains-of-covid-19/;https://www.interfax.ru/world/809388;Omicron spreads much faster than other strains of Covid-19;TRUE;2022
https://eufactcheck.eu/factcheck/mostly-true-left-wing-extremism-continues-to-grow-and-grow-stronger-in-germany/;;Left-wing extremism continues to grow and grow stronger in Germany;MOSTLY TRUE;2022
https://eufactcheck.eu/factcheck/mostly-true-no-major-sporting-event-has-yet-improved-the-human-rights-situation-in-the-hosting-country/;;No major sporting event has yet improved the human rights situation in the hosting country;MOSTLY TRUE;2022
https://eufactcheck.eu/factcheck/mostly-true-croatia-spent-24-times-more-euros-on-census-than-slovenia-which-has-2-million-fewer-citizens/;;Croatia spent 24 times more euros on census than Slovenia which has 2 million fewer citizens;MOSTLY TRUE;2022
https://eufactcheck.eu/factcheck/false-corona-vaccine-kills-more-people-than-all-other-vaccines-in-the-past-20-years/;;Corona vaccine kills more people than all other vaccines in the past 20 years“;FALSE;2022
https://eufactcheck.eu/factcheck/true-greenhouse-gas-emissions-have-to-drop-50-in-eight-years-to-stay-below-1-5-degrees/;https://unfccc.int/news/updated-climate-commitments-ahead-of-cop26-summit-fall-far-short-but-net-zero-pledges-provide-hope;Greenhouse gas emissions have to drop 50% in eight years to stay below 1.5 degrees;TRUE;2022
https://eufactcheck.eu/factcheck/mostly-true-pfizer-biontech-moderna-make-1000-every-second-from-covid-19-vaccines/;;Pfizer, BioNTech & Moderna make $1,000 every second from Covid-19 vaccines;MOSTLY TRUE;2022
https://eufactcheck.eu/factcheck/mostly-false-covid-19-divides-europe-into-two-parts/;;COVID-19 divides Europe into two parts;MOSTLY FALSE;2022
https://eufactcheck.eu/factcheck/mostly-true-the-european-population-perceives-climate-change-as-a-serious-problem/;https://germany.representation.ec.europa.eu/news/eurobarometer-umfrage-klimawandel-ist-ein-ernstes-problem-und-sollte-schneller-bekampft-werden-2023-07-20_de;The European population perceives climate change as a serious problem;MOSTLY TRUE;2023
https://eufactcheck.eu/factcheck/false-300000-rejected-asylum-seekers-receive-full-welfare-benefits/;;300,000 rejected asylum seekers receive full welfare benefits;FALSE;2023
https://eufactcheck.eu/factcheck/uncheckable-oktoberfest-2023-numbers-of-assaults-against-girls-and-women-significantly-decrease/;;Oktoberfest 2023: Numbers of assaults against girls and women significantly decrease;UNCHECKABLE;2023
https://eufactcheck.eu/factcheck/mostly-true-unemployment-rate-in-the-euro-area-at-record-low/;;Unemployment rate in the euro area at record low;MOSTLY TRUE;2023
https://eufactcheck.eu/factcheck/false-on-average-a-flemish-livestock-farm-emits-20-to-28-tonnes-of-ammonia/;;On average, a Flemish livestock farm emits 20 to 28 tonnes of ammonia;FALSE;2023
https://eufactcheck.eu/factcheck/mostly-false-fewer-than-4400-wind-turbines-generate-the-same-as-three-nuclear-power-plants/;;Fewer than 4,400 wind turbines generate the same as three nuclear power plants;MOSTLY FALSE;2023
https://eufactcheck.eu/factcheck/false-belgium-has-the-highest-public-expenditure-and-the-highest-structural-deficit/;;Belgium has the highest public expenditure and the highest structural deficit;FALSE;2023
https://eufactcheck.eu/factcheck/mostly-true-sustainable-aviation-leads-to-job-loss-higher-travel-costs-and-low-passenger-demand/;https://www.trbusiness.com/regional-news/europe/sustainable-aviation-increased-cost-of-greener-aviation-will-curtail-pax-demand/232992;Sustainable aviation leads to job loss, higher travel costs and low passenger demand;MOSTLY TRUE;2023
https://eufactcheck.eu/factcheck/mostly-true-terrifying-interactive-map-reveals-the-areas-that-could-be-plunged-underwater-by-2050/;https://www.dailymail.co.uk/sciencetech/article-11755149/Map-reveals-areas-plunged-underwater-2050-amid-sea-level-rise.html;‘Terrifying interactive map reveals the areas that could be plunged underwater by 2050’;MOSTLY TRUE;2023
https://eufactcheck.eu/factcheck/mostly-true-violence-against-emergency-workers-is-on-the-rise/;;Violence against emergency workers is on the rise;MOSTLY TRUE;2023
https://eufactcheck.eu/factcheck/false-cars-are-related-to-pollution-but-have-nothing-to-do-with-climate-change/;;Cars are related to pollution, but have nothing to do with climate change;FALSE;2023
https://eufactcheck.eu/factcheck/true-italy-became-the-first-western-country-to-ban-chatgpt/;https://www.cnbc.com/2023/04/04/italy-has-banned-chatgpt-heres-what-other-countries-are-doing.html;Italy became the first Western country to ban ChatGPT;TRUE;2023
https://eufactcheck.eu/factcheck/mostly-false-eating-less-meat-would-be-a-contribution-against-mr-putin/;;Eating less meat would be a contribution against Mr. Putin;MOSTLY FALSE;2023
https://eufactcheck.eu/factcheck/uncheckable-germany-doesnt-have-too-few-caregivers-we-just-use-them-very-inefficiently/;;Germany doesn’t have too few caregivers, we just use them very inefficiently;UNCHECKABLE;2023
https://eufactcheck.eu/factcheck/mostly-false-we-wont-be-able-to-feed-our-families-in-2050/;;We won’t be able to feed our families in 2050;MOSTLY FALSE;2023
https://eufactcheck.eu/factcheck/true-number-of-asylum-applications-declined-notably-in-february/;;Number of asylum applications declined notably in February;TRUE;2024
https://eufactcheck.eu/factcheck/mostly-false-the-euro-was-supposed-to-be-as-stable-as-the-d-mark-but-it-is-as-stable-as-the-turkish-lira/;;The euro was supposed to be as stable as the D-Mark, but it is as stable as the Turkish lira;MOSTLY FALSE;2024
https://eufactcheck.eu/factcheck/true-construction-is-responsible-for-producing-35-of-all-waste-in-the-eu/;https://www.groen.be/duurzamere-bouwmaterialen-europa?fbclid=IwAR3AW4_kpgxmUlfNOZlBHPu5hCKNpi0kSQSxVObUUsZhoBkBlS5BVlQcYAY;Construction is responsible for producing 35% of all waste in the EU.;TRUE;2024
https://eufactcheck.eu/factcheck/mostly-false-the-party-afd-stands-for-prosperity-for-family-for-people-and-for-peace/;;The party AfD stands for prosperity, for family, for people, and for peace;MOSTLY FALSE;2024
https://eufactcheck.eu/factcheck/mostly-true-180000-tonnes-of-plastic-pellets-lost-into-the-european-environment-yearly/;;180,000 tonnes of plastic pellets lost into the European environment yearly;MOSTLY TRUE;2024
https://eufactcheck.eu/factcheck/mostly-true-a-dexit-would-mean-a-loss-of-prosperity-of-400-to-500-billion-euros-per-year/;;A Dexit would mean a loss of prosperity of 400 to 500 billion euros per year;MOSTLY TRUE;2024
https://eufactcheck.eu/factcheck/false-barcelona-has-become-the-city-with-the-highest-crime-rate-in-spain-and-is-an-example-of-the-failure-of-multiculturalism/;;Barcelona has become the city with the highest crime rate in Spain and is an example of the failure of multiculturalism;FALSE;2024
https://eufactcheck.eu/factcheck/uncheckable-the-afd-are-the-arsonists-who-are-planning-to-deport-our-neighbors/;;The AfD are the arsonists who are planning to deport our neighbors;UNCHECKABLE;2024
https://eufactcheck.eu/factcheck/mostly-false-great-britain-deports-illegal-immigrants-to-their-home-country/;;Great Britain deports illegal immigrants to their home country;MOSTLY FALSE;2024
https://eufactcheck.eu/factcheck/true-but-requires-context-finland-faces-the-highest-costs-under-eus-environmental-restoration-law-relative-to-its-economy/;;Finland faces the highest costs under EU’s environmental restoration law relative to its economy;TRUE;2024
https://eufactcheck.eu/factcheck/true-80-of-european-agricultural-funding-goes-to-just-20-of-companies/;;80% of European agricultural funding goes to just 20% of companies;TRUE;2024
https://eufactcheck.eu/factcheck/mostly-true-30-million-europeans-live-with-a-rare-disease/;;30 million Europeans live with a rare disease;MOSTLY TRUE;2024
https://eufactcheck.eu/factcheck/mostly-false-trans-is-a-dangerous-trend-gender-affirming-surgeries-in-germany-have-increased-from-120-in-2005-to-2-598-in-2021/;;Trans is a dangerous trend – Gender-affirming surgeries in Germany have increased from 120 in 2005 to 2.598 in 2021;MOSTLY FALSE;2024
https://eufactcheck.eu/factcheck/false-there-is-a-direct-connection-between-covid-vaccines-and-excess-mortality/;;There is a direct connection between COVID vaccines and excess mortality;FALSE;2024
https://eufactcheck.eu/factcheck/false-in-the-next-25-years-1-billion-african-immigrants-will-come-to-europe/;;In the next 25 years 1 billion African immigrants will come to Europe;FALSE;2024
https://eufactcheck.eu/factcheck/mostly-true-35-parties-will-take-part-in-the-european-parliament-elections-in-germany/;https://lb.ua/world/2024/03/30/606011_nimechchini_uchast_viborah.html;35 parties will take part in the European Parliament elections in Germany;MOSTLY TRUE;2024
https://eufactcheck.eu/factcheck/mostly-false-the-brexit-hasnt-harmed-great-britain/;;The Brexit hasn’t harmed Great Britain;MOSTLY FALSE;2024
https://eufactcheck.eu/factcheck/mostly-false-euro-membership-is-an-economic-detriment-to-finland/;https://www.suomenuutiset.fi/perussuomalaiset-nimesi-lisaa-eurovaaliehdokkaita-2/;Euro membership is an economic detriment to Finland;MOSTLY FALSE;2024
https://eufactcheck.eu/factcheck/mostly-false-after-novice-drivers-older-people-have-the-highest-accident-rate-p-km/;;After novice drivers, older people have the highest accident rate p/km;MOSTLY FALSE;2024
https://eufactcheck.eu/factcheck/mostly-true-58-million-tonnes-of-food-annually-go-to-waste-in-the-eu/;;58 million tonnes of food annually go to waste in the EU;MOSTLY TRUE;2024
https://eufactcheck.eu/factcheck/true-two-thirds-of-poles-oppose-the-adoption-of-the-euro/;https://brusselssignal.eu/2024/04/two-thirds-of-poles-oppose-adoption-of-the-euro-poll-shows/;Two-thirds of Poles oppose the adoption of the euro;TRUE;2024
https://eufactcheck.eu/factcheck/false-eus-new-environmental-law-bans-bonfires/;;EU’s new environmental law bans bonfires;FALSE;2024
https://eufactcheck.eu/factcheck/uncheckable-youtube-favored-far-right-videos-during-the-2024-finnish-presidential-election/;;YouTube favored far-right videos during the 2024 Finnish presidential election;UNCHECKABLE;2024
https://eufactcheck.eu/factcheck/mostly-true-the-packaging-and-packaging-waste-regulation-is-a-robust-and-evidence-based-law/;https://www.euronews.com/green/2024/04/24/meps-approve-law-to-reduce-growing-stream-of-packaging-waste;The Packaging and Packaging Waste Regulation is a “robust and evidence-based law;MOSTLY TRUE;2024
https://eufactcheck.eu/factcheck/mostly-false-the-digital-service-act-is-intended-to-prevent-the-sharing-of-unorthodox-and-creative-ideas/;;The Digital Service Act is intended to prevent the sharing of unorthodox and creative ideas;MOSTLY FALSE;2024
https://eufactcheck.eu/factcheck/uncheckable-the-many-thousand-ukrainian-deserters-are-against-continuing-the-war/;;The many thousand Ukrainian deserters are against continuing the war;UNCHECKABLE;2024
https://eufactcheck.eu/factcheck/mostly-false-energy-and-food-are-getting-more-expensive-and-companies-are-leaving/;;Energy and food are getting more expensive and companies are leaving;MOSTLY FALSE;2024
https://eufactcheck.eu/factcheck/false-every-second-immigrant-who-comes-to-germany-has-no-right-to-protection-at-all-but-can-usually-still-stay-and-receive-social-benefits/;;Every second immigrant who comes to Germany has no right to protection at all, but can usually still stay and receive social benefits;FALSE;2024
https://eufactcheck.eu/factcheck/mostly-true-inflation-issue-that-most-concerns-portuguese-in-2024-eu-elections/;https://eufactcheck.eu/factcheck/mostly-true-inflation-issue-that-most-concerns-portuguese-in-2024-eu-elections/;Inflation issue that most concerns Portuguese in 2024 EU elections;MOSTLY TRUE;2024
https://eufactcheck.eu/factcheck/mostly-false-only-1-of-the-eu-budget-eu-is-a-share-of-the-gdp-of-all-countries-america-has-33-of-its-budget-in-relation-to-gdp/;;Only 1% of the EU budget EU is a share of the GDP of all countries. America has 33% of its budget in relation to GDP;MOSTLY FALSE;2024
https://eufactcheck.eu/factcheck/mostly-false-germany-is-the-biggest-net-contributor-but-is-poorer-has-to-work-longer-and-has-less-home-ownerships-than-most-of-the-eu-members/;;Germany biggest EU net contributor, but is poorer, has to work longer and has less home ownerships than most  EU-members;MOSTLY FALSE;2024
https://eufactcheck.eu/factcheck/false-almost-60-of-violent-crimes-in-germany-are-committed-by-men-with-migrant-background/;;Almost 60% of violent crimes in Germany are committed by men with migrant background;FALSE;2024
https://eufactcheck.eu/factcheck/mostly-true-ec-first-institution-in-world-to-ban-tiktok-on-corporate-phones-and-von-der-leyen-has-done-a-lot-to-regulate-the-platforms-services/;https://www.stiripesurse.ro/von-der-leyen-nu-exclude-interzicerea-tiktok-in-ue-daca-va-fi-realesa-in_3306375.html;EC “first institution in world” to ban TikTok on corporate phones and Von der Leyen “has done a lot” to regulate the platform’s services;MOSTLY TRUE;2024
https://eufactcheck.eu/factcheck/mostly-false-hungarys-economy-almost-doubled-in-14-years/;;Hungary’s economy almost doubled in 14 years;MOSTLY FALSE;2024
https://eufactcheck.eu/factcheck/mostly-true-there-is-still-a-gender-pay-gap-in-iceland/;;There is still a gender pay gap in Iceland;MOSTLY TRUE;2024
https://eufactcheck.eu/factcheck/true-the-past-twelve-months-were-1-3-degrees-celsius-warmer-than-the-pre-industrial-era/;https://www.rtl.nl/nieuws/artikel/5417274/klimaatverandering-warmer;the past twelve months were 1.3 degrees Celsius warmer than the pre-industrial era;TRUE;2024
https://eufactcheck.eu/factcheck/eu-makes-significant-progress-on-gender-equality-ahead-of-the-upcoming-elections/;https://www.politico.eu/article/women-rights-peril-if-far-right-eu-election-surge-activists-say/?fbclid=IwZXh0bgNhZW0CMTAAAR0k88pBK8nHYI8KNM_Yk_ii2SE6Sh5oP1IuBE9gdDP0g3Ye2y_3VEVfOfY_aem_AYgh9Bn9NEJu-gyBu4tV0xSUDqv8Q_ecJXZtY27xnv3d2Lf4EM3fHUt673k9oO6t6qIo2p03DkafEc6U_rCh1UYI;EU makes significant progress on gender equality ahead of the upcoming elections;TRUE;2024
https://eufactcheck.eu/factcheck/true-supporters-of-full-confiscation-of-russian-assets-have-increased-in-european-parliament/;https://www.unian.ua/world/konfiskaciya-aktiviv-rosiji-v-yevroparlamenti-use-bilshe-prihilnikiv-12615636.html;Supporters of full confiscation of Russian assets have increased in European Parliament;TRUE;2024
https://eufactcheck.eu/factcheck/true-who-reports-significant-increase-in-cholera-cases/;;WHO reports significant increase in cholera cases;TRUE;2024
https://eufactcheck.eu/factcheck/mostly-false-680000-libyan-migrants-will-arrive-in-europe-specifically-germany/;;680,000 Libyan migrants will arrive in Europe specifically Germany;MOSTLY FALSE;2024
https://eufactcheck.eu/factcheck/mostly-true-banning-nuclear-energy-is-the-stupidest-thing-a-country-can-do/;;Banning nuclear energy is the stupidest thing a country can do;MOSTLY TRUE;2024
https://eufactcheck.eu/factcheck/mostly-true-in-the-past-season-961-games-in-amateur-football-were-canceled-due-to-violence-and-discrimination/;https://www.welt.de/sport/article247151672/Gewalt-und-Diskriminierung-Spielabbrueche-im-Amateurfussball-DFB-nennt-schockierende-Zahlen.html;In the past season, 961 games in amateur football were canceled due to violence and discrimination;MOSTLY TRUE;2024
https://eufactcheck.eu/factcheck/true-migratory-birds-are-threatened-by-climate-change/;;Migratory birds are threatened by climate change;TRUE;2024
https://eufactcheck.eu/factcheck/uncheckable-eu-spends-trillions-to-slow-climate-change-by-0-05-degrees/;;EU spends trillions to slow climate change by 0.05 degrees;UNCHECKABLE;2024
https://eufactcheck.eu/factcheck/mostly-true-significant-increase-in-abortions-in-germany-since-2022/;;Significant increase in abortions in Germany since 2022;MOSTLY TRUE;2024
https://eufactcheck.eu/factcheck/mostly-true-eu-policies-do-not-favour-sustainable-production-or-consumption/;https://www.wwf.eu/?11789966/EU-policies-do-not-favour-sustainable-production-or-consumption---new-report;EU policies do not favour sustainable production or consumption;MOSTLY TRUE;2024
https://eufactcheck.eu/factcheck/true-more-pensioners-than-ever-need-basic-income-support/;;More pensioners than ever need basic income support;TRUE;2024
https://eufactcheck.eu/factcheck/mostly-true-alcohol-consumption-among-young-people-at-an-all-time-low/;;Alcohol consumption among young people at an all time low;MOSTLY TRUE;2024
https://eufactcheck.eu/factcheck/false-the-reason-why-health-insurance-contributions-keep-rising-are-the-parties-sitting-here/;;The reason why health insurance contributions keep rising are the parties sitting here;FALSE;2025
https://eufactcheck.eu/factcheck/mostly-false-the-speed-limit-does-not-save-a-lot-of-co%e2%82%82/;https://www.fdp.de/seite/technologieoffenheit-statt-symbolpolitik-gegen-ein-allgemeines-tempolimit-auf-autobahnen;The speed limit does not save a lot of CO₂;MOSTLY FALSE;2025
https://eufactcheck.eu/factcheck/false-everyone-who-works-full-time-earns-enough-to-live-on/;;Everyone who works full-time earns enough to live on;FALSE;2025
https://eufactcheck.eu/factcheck/mostly-false-20-of-the-companies-covered-by-the-cbam-are-responsible-for-97-of-the-emissions/;;„20% of the companies covered by the CBAM are responsible for 97% of the emissions;MOSTLY FALSE;2025
https://eufactcheck.eu/factcheck/mostly-false-dual-citizenship-will-become-the-rule-in-our-citizenship-law/;;Dual citizenship will become the rule in our citizenship law;MOSTLY FALSE;2025
https://eufactcheck.eu/factcheck/mostly-false-immigration-costs-germany-e6-trillion/;https://www.stiftung-marktwirtschaft.de/wp-content/uploads/2024/08/Argument_173_Ehrbarer_Staat_2024_WEB_neu.pdf;Immigration costs Germany €6 trillion;MOSTLY FALSE;2025
https://eufactcheck.eu/factcheck/mostly-false-fewer-and-fewer-people-are-willing-to-make-an-effort/;;Fewer and fewer people are willing to make an effort;MOSTLY FALSE;2025
https://eufactcheck.eu/factcheck/mostly-false-squirrels-are-on-the-verge-of-extinction/;;Squirrels are on the verge of extinction;MOSTLY FALSE;2025
https://eufactcheck.eu/factcheck/mostly-true-but-misleading-many-member-states-are-looking-for-innovative-strategies-to-prevent-irregular-migration/;https://www.eunews.it/wp-content/uploads/2024/06/Letter-from-President-von-der-Leyen-to-EU-leaders-on-migration-EUCO-June-2024.pdf;Many Member States are looking for innovative strategies to prevent irregular migration;MOSTLY TRUE;2025
https://eufactcheck.eu/factcheck/false-the-sea-level-in-venice-has-been-constant-for-over-1500-years/;;The sea level in Venice has been constant for over 1500 years;FALSE;2025
https://eufactcheck.eu/factcheck/mostly-false-nuclear-energy-is-co%e2%82%82-neutral/;;Nuclear energy is CO₂-neutral;MOSTLY FALSE;2025
https://eufactcheck.eu/factcheck/mostly-false-we-need-to-work-more-and-more-efficiently-again/;;We need to work more and more efficiently again;MOSTLY FALSE;2025
https://eufactcheck.eu/factcheck/mostly-false-only-around-3-of-all-co%e2%82%82-emissions-are-man-made/;;Only around 3% of all CO₂ emissions are man-made;MOSTLY FALSE;2025
https://eufactcheck.eu/factcheck/mostly-true-40-percent-less-co%e2%82%82-emissions-for-a-vegan-diet-compared-to-eating-meat-and-dairy-products/;https://www.vattenfall.de/infowelt-energie/fossilfrei-leben/klimawandel-vegane-ernaehrung;40 percent less CO₂ emissions for a vegan diet compared to eating meat and dairy products;MOSTLY TRUE;2025
https://eufactcheck.eu/factcheck/mostly-false-co2-drives-plant-growth-thereby-supporting-global-nutrition/;;CO2 drives plant growth, thereby supporting global nutrition;MOSTLY FALSE;2025
https://eufactcheck.eu/factcheck/mostly-false-battery-production-also-pollutes-the-environment-more-than-a-combustion-engine/;;Battery production pollutes the environment more than a combustion engine;MOSTLY FALSE;2025
