topic,question_id,question
Accuracy and Evidence,61,"How might AI confuse correlation with causation?"
Accuracy and Evidence,62,"What role does peer review play in validating evidence?"
Accuracy and Evidence,63,"How can you recognize when an AI is giving an oversimplified explanation?"
Accuracy and Evidence,64,"What steps can you take to evaluate the completeness of an AI’s answer?"
Accuracy and Evidence,65,"Why is it important to know when a fact was last updated?"
Accuracy and Evidence,66,"What are the risks of relying on secondary sources only?"
Accuracy and Evidence,67,"How can the format of an answer affect your perception of its accuracy?"
Accuracy and Evidence,68,"What strategies can you use to identify missing counterexamples?"
Accuracy and Evidence,69,"Why is it valuable to check the original wording of evidence?"
Accuracy and Evidence,70,"How does repetition affect your belief in accuracy?"
Accuracy and Evidence,71,"What are the dangers of trusting numbers without context?"
Accuracy and Evidence,72,"How do you check whether a cited source has been represented fairly?"
Accuracy and Evidence,73,"What is the role of skepticism in evaluating evidence?"
Accuracy and Evidence,74,"Why might an AI prioritize certain evidence over others?"
Accuracy and Evidence,75,"How can you test if an explanation is consistent with known facts?"
Accuracy and Evidence,76,"What do you do if two trustworthy sources disagree?"
Accuracy and Evidence,77,"What does it mean if the AI leaves out limitations of a study?"
Accuracy and Evidence,78,"How does the credibility of an author affect the trustworthiness of evidence?"
Accuracy and Evidence,79,"What is the difference between evidence and interpretation of evidence?"
Accuracy and Evidence,80,"How do you know if a claim has enough support to be believed?"
Accuracy and Evidence,81,"What happens when evidence is taken out of its original context?"
Accuracy and Evidence,82,"How can bias in evidence affect accuracy?"
Accuracy and Evidence,83,"Why is triangulation across multiple sources important?"
Accuracy and Evidence,84,"How would you verify a claim the AI presents as common knowledge?"
Accuracy and Evidence,85,"What role does precision play in distinguishing truth from approximation?"
Accuracy and Evidence,86,"Why might vague language hide inaccuracy?"
Accuracy and Evidence,87,"How can you test if a claim holds up under different conditions?"
Accuracy and Evidence,88,"What would you ask if the AI provides no justification for a claim?"
Accuracy and Evidence,89,"How do you separate fact from inference in AI answers?"
Accuracy and Evidence,90,"What should you do if evidence contradicts your prior beliefs?"
Accuracy and Evidence,91,"Why might AI provide facts that are technically true but misleading?"
Accuracy and Evidence,92,"What signs show that evidence is cherry-picked?"
Accuracy and Evidence,93,"How would you evaluate an answer that lacks nuance?"
Accuracy and Evidence,94,"What steps could you take to replicate the AI’s evidence search?"
Accuracy and Evidence,95,"How can analogies mislead accuracy in AI explanations?"
Accuracy and Evidence,96,"Why is it risky to assume that detailed answers are automatically accurate?"
Accuracy and Evidence,97,"How do you know if evidence is sufficient to support a conclusion?"
Accuracy and Evidence,98,"What makes some facts more verifiable than others?"
Accuracy and Evidence,99,"Why might AI exaggerate certainty in an answer?"
Accuracy and Evidence,100,"What steps should you take if the AI’s evidence feels incomplete?"
Bias and Perspective,1,"Whose perspectives might be missing from the AI’s training data?"
Bias and Perspective,2,"How might the dominance of English-language sources shape the AI’s answers?"
Bias and Perspective,3,"In what ways could cultural bias influence the AI’s response?"
Bias and Perspective,4,"How could historical bias show up in AI-generated information?"
Bias and Perspective,5,"What assumptions might the AI make about its audience?"
Bias and Perspective,6,"Whose values are reflected in the AI’s answers?"
Bias and Perspective,7,"How might marginalized voices be excluded from AI training data?"
Bias and Perspective,8,"What role do stereotypes play in shaping AI responses?"
Bias and Perspective,9,"How can geographic bias affect the information you receive?"
Bias and Perspective,10,"How might political bias enter into AI-generated answers?"
Bias and Perspective,11,"What perspectives could be overrepresented in the AI’s outputs?"
Bias and Perspective,12,"Why might some perspectives be systematically underrepresented?"
Bias and Perspective,13,"What happens when AI presents a single perspective as if it were universal?"
Bias and Perspective,14,"How could commercial interests affect the AI’s responses?"
Bias and Perspective,15,"Whose perspective is being amplified in this answer?"
Bias and Perspective,16,"How might the AI misrepresent cultural practices?"
Bias and Perspective,17,"Why could the AI overgeneralize about groups or individuals?"
Bias and Perspective,18,"How can algorithmic design choices introduce bias?"
Bias and Perspective,19,"What role do dominant narratives play in shaping AI answers?"
Bias and Perspective,20,"How would you know if an AI response reflects Western assumptions?"
Bias and Perspective,21,"What effect could selection bias in training data have on outputs?"
Bias and Perspective,22,"How can the framing of a question influence the AI’s perspective?"
Bias and Perspective,23,"Why might AI reproduce gender stereotypes?"
Bias and Perspective,24,"How might racial bias appear in AI-generated examples?"
Bias and Perspective,25,"What kind of bias could show up in translations provided by AI?"
Bias and Perspective,26,"What happens if a minority viewpoint is not represented in the dataset?"
Bias and Perspective,27,"How might the AI flatten differences between cultures?"
Bias and Perspective,28,"How does the AI decide which sources are most important?"
Bias and Perspective,29,"What perspectives might be hidden in seemingly neutral answers?"
Bias and Perspective,30,"Why might AI privilege majority perspectives?"
Bias and Perspective,31,"What implicit values might be encoded in AI training data?"
Bias and Perspective,32,"How could confirmation bias influence the AI’s suggestions?"
Bias and Perspective,33,"What kind of worldview does the AI assume its users share?"
Bias and Perspective,34,"Why might AI fail to capture indigenous knowledge systems?"
Bias and Perspective,35,"How could the AI’s training cut-off date create bias in responses?"
Bias and Perspective,36,"Why might AI fail to question dominant power structures?"
Bias and Perspective,37,"How could omission bias appear in AI answers?"
Bias and Perspective,38,"What role do cultural norms play in shaping AI explanations?"
Bias and Perspective,39,"How might the AI treat contested issues as settled facts?"
Bias and Perspective,40,"Why could AI reproduce historical prejudices?"
Bias and Perspective,41,"How can the phrasing of prompts influence AI’s perspective?"
Bias and Perspective,42,"What happens when AI relies mostly on academic sources?"
Bias and Perspective,43,"How does bias differ from error in AI outputs?"
Bias and Perspective,44,"What effect does sampling bias have on AI training?"
Bias and Perspective,45,"How can you detect ethnocentrism in AI answers?"
Bias and Perspective,46,"Why might the AI give answers that align with mainstream media?"
Bias and Perspective,47,"How could user interactions reinforce AI bias?"
Bias and Perspective,48,"How do cultural blind spots shape AI outputs?"
Bias and Perspective,49,"Why might AI neglect local knowledge?"
Bias and Perspective,50,"What perspectives could be distorted in summarization tasks?"
Bias and Perspective,51,"How might AI normalize discriminatory language?"
Bias and Perspective,52,"How could the absence of diverse data sources affect fairness?"
Bias and Perspective,53,"What are the risks of assuming AI is objective?"
Bias and Perspective,54,"How might regional differences in data availability shape responses?"
Bias and Perspective,55,"Why might the AI favor dominant ideologies?"
Bias and Perspective,56,"How can design teams’ backgrounds influence AI bias?"
Bias and Perspective,57,"What role do societal norms play in shaping AI answers?"
Bias and Perspective,58,"Why might AI struggle to reflect minority languages accurately?"
Bias and Perspective,59,"How can bias show up in the examples AI chooses?"
Bias and Perspective,60,"Why might AI responses privilege written sources over oral traditions?"
Bias and Perspective,61,"How can framing bias shape AI outputs?"
Bias and Perspective,62,"Why could AI answers erase nuance in cultural practices?"
Bias and Perspective,63,"How might AI reinforce existing inequalities?"
Bias and Perspective,64,"What kind of perspective might be missing in a one-size-fits-all answer?"
Bias and Perspective,65,"Why might AI outputs vary across languages?"
Bias and Perspective,66,"How can AI accidentally reinforce harmful norms?"
Bias and Perspective,67,"Why might AI assume universality in its responses?"
Bias and Perspective,68,"What perspectives might AI treat as marginal or irrelevant?"
Bias and Perspective,69,"How might the AI mishandle contested historical events?"
Bias and Perspective,70,"What does neutrality mean in the context of AI bias?"
Bias and Perspective,71,"How could recency bias affect AI responses?"
Bias and Perspective,72,"How might AI fail to question majority assumptions?"
Bias and Perspective,73,"What happens if the AI amplifies already dominant perspectives?"
Bias and Perspective,74,"How might AI flatten diverse viewpoints into a single narrative?"
Bias and Perspective,75,"Why might AI answers reflect urban-centric perspectives?"
Bias and Perspective,76,"How could AI answers reinforce socioeconomic bias?"
Bias and Perspective,77,"Why might AI reproduce unequal gender roles?"
Bias and Perspective,78,"What happens if AI lacks data from the Global South?"
Bias and Perspective,79,"How can AI give an illusion of objectivity while being biased?"
Bias and Perspective,80,"Why might AI overlook underrepresented disciplines?"
Bias and Perspective,81,"How could AI perpetuate harmful clichés?"
Bias and Perspective,82,"What makes bias harder to detect in AI outputs than in humans?"
Bias and Perspective,83,"Why might AI silence alternative perspectives?"
Bias and Perspective,84,"What role does bias play in shaping which facts are highlighted?"
Bias and Perspective,85,"Why could AI conflate majority norms with universal truths?"
Bias and Perspective,86,"How can biases accumulate through multiple layers of AI processing?"
Bias and Perspective,87,"What role does cultural context play in interpreting AI answers?"
Bias and Perspective,88,"Why might AI minimize uncertainty in complex debates?"
Bias and Perspective,89,"How might survivorship bias affect AI answers?"
Bias and Perspective,90,"Why could AI misrepresent cultural diversity?"
Bias and Perspective,91,"What impact does homogeneity in training data have on bias?"
Bias and Perspective,92,"How can AI unintentionally reproduce systemic discrimination?"
Bias and Perspective,93,"Why might AI omit controversial perspectives?"
Bias and Perspective,94,"How might AI reinforce the worldview of the majority class?"
Bias and Perspective,95,"How does bias affect the framing of evidence in AI answers?"
Bias and Perspective,96,"Why might AI present partial truths as complete answers?"
Bias and Perspective,97,"How can you identify implicit values in AI responses?"
Bias and Perspective,98,"What happens if AI treats tradition as universal fact?"
Bias and Perspective,99,"Why could AI ignore the perspectives of future generations?"
Bias and Perspective,100,"How might AI give more weight to perspectives from wealthy nations?"
Hallucinations,1,"Why might an AI generate an answer that sounds confident but is completely false?"
Hallucinations,2,"What could cause the AI to invent a source that doesn’t exist?"
Hallucinations,3,"How can you tell if a reference provided by the AI is fabricated?"
Hallucinations,4,"Why would the AI sometimes make up details rather than say it doesn’t know?"
Hallucinations,5,"What signs suggest that an AI response may be a hallucination?"
Hallucinations,6,"How might hallucinations appear in AI-generated statistics?"
Hallucinations,7,"What risks arise when fabricated information looks credible?"
Hallucinations,8,"Why does the AI sometimes prioritize fluency over accuracy?"
Hallucinations,9,"How can you test whether an example from AI is real or invented?"
Hallucinations,10,"What makes hallucinations harder to spot when they sound plausible?"
Hallucinations,11,"Why could the AI invent direct quotes from famous people?"
Hallucinations,12,"How do hallucinations affect trust in AI systems?"
Hallucinations,13,"What might cause the AI to create a fake academic reference?"
Hallucinations,14,"Why might hallucinations occur more often in niche topics?"
Hallucinations,15,"How could hallucinations mislead a beginner who cannot fact-check?"
Hallucinations,16,"Why might the AI generate a confident but unsupported explanation?"
Hallucinations,17,"What role does lack of transparency play in hallucinations?"
Hallucinations,18,"How can hallucinations damage academic work?"
Hallucinations,19,"Why might the AI ‘fill gaps’ with fabricated information?"
Hallucinations,20,"What risks come with relying on AI hallucinations in journalism?"
Hallucinations,21,"How can you recognize when an AI invents technical terms?"
Hallucinations,22,"Why might fabricated references appear in AI-generated bibliographies?"
Hallucinations,23,"What strategies could help detect hallucinations in answers?"
Hallucinations,24,"Why do hallucinations feel convincing even when they are wrong?"
Hallucinations,25,"What happens if hallucinations are repeated across multiple outputs?"
Hallucinations,26,"How can hallucinations be especially harmful in medicine?"
Hallucinations,27,"Why might hallucinations be mistaken for creative storytelling?"
Hallucinations,28,"What are the dangers of hallucinations in legal contexts?"
Hallucinations,29,"How could hallucinations misinform public debates?"
Hallucinations,30,"Why do hallucinations occur even in advanced AI models?"
Hallucinations,31,"What role does prediction play in generating hallucinations?"
Hallucinations,32,"How might hallucinations differ from simple mistakes?"
Hallucinations,33,"Why might hallucinations be more common with open-ended questions?"
Hallucinations,34,"What is the danger of not recognizing a hallucination in time?"
Hallucinations,35,"How can hallucinations undermine fact-checking efforts?"
Hallucinations,36,"Why does AI sometimes invent historical events?"
Hallucinations,37,"What makes hallucinations look more credible than they are?"
Hallucinations,38,"How could hallucinations affect people’s memory of real facts?"
Hallucinations,39,"Why are hallucinations harder to detect without domain expertise?"
Hallucinations,40,"How could hallucinations harm decision-making processes?"
Hallucinations,41,"Why might hallucinations occur in summarization tasks?"
Hallucinations,42,"What makes hallucinations particularly misleading in science?"
Hallucinations,43,"How might hallucinations affect student learning?"
Hallucinations,44,"Why would hallucinations undermine trust in AI tools?"
Hallucinations,45,"What steps can reduce the impact of hallucinations?"
Hallucinations,46,"Why do hallucinations sometimes blend fact with fiction?"
Hallucinations,47,"How might hallucinations exaggerate a minor fact into a big claim?"
Hallucinations,48,"Why could hallucinations create nonexistent people or places?"
Hallucinations,49,"How might hallucinations distort historical timelines?"
Hallucinations,50,"Why might hallucinations appear more in creative writing prompts?"
Hallucinations,51,"How can hallucinations spread misinformation unintentionally?"
Hallucinations,52,"Why do hallucinations sometimes mimic scientific authority?"
Hallucinations,53,"What ethical problems arise from AI hallucinations?"
Hallucinations,54,"Why are hallucinations harder to notice when the topic is unfamiliar?"
Hallucinations,55,"How could hallucinations bias a researcher’s conclusions?"
Hallucinations,56,"Why does AI generate false citations so persuasively?"
Hallucinations,57,"How can hallucinations damage professional credibility?"
Hallucinations,58,"Why do hallucinations occur when data is missing?"
Hallucinations,59,"How do hallucinations differ from deliberate lies?"
Hallucinations,60,"Why might hallucinations persist even after corrections?"
Hallucinations,61,"What risks come from hallucinations in AI-powered search?"
Hallucinations,62,"How do hallucinations affect public trust in technology?"
Hallucinations,63,"Why might hallucinations give users a false sense of expertise?"
Hallucinations,64,"How could hallucinations distort evidence in debates?"
Hallucinations,65,"What strategies could teachers use to expose hallucinations?"
Hallucinations,66,"Why might hallucinations be dangerous in financial advice?"
Hallucinations,67,"How can hallucinations mislead policy makers?"
Hallucinations,68,"Why does the AI sometimes choose fluency over accuracy?"
Hallucinations,69,"What is the danger of fabricated case studies?"
Hallucinations,70,"How might hallucinations complicate academic integrity?"
Hallucinations,71,"Why might hallucinations spread faster than corrections?"
Hallucinations,72,"What risks arise from hallucinations in translation tasks?"
Hallucinations,73,"Why might hallucinations create false laws or regulations?"
Hallucinations,74,"What happens if hallucinations get integrated into real databases?"
Hallucinations,75,"Why are hallucinations especially risky for beginners?"
Hallucinations,76,"How do hallucinations affect critical thinking skills?"
Hallucinations,77,"What safeguards could reduce hallucinations?"
Hallucinations,78,"Why might hallucinations occur more often in rare topics?"
Hallucinations,79,"What role does training data play in hallucinations?"
Hallucinations,80,"Why could hallucinations erode trust in AI-assisted learning?"
Hallucinations,81,"How might hallucinations trick someone into citing fake sources?"
Hallucinations,82,"Why do hallucinations matter more in high-stakes fields?"
Hallucinations,83,"What happens if hallucinations become normalized?"
Hallucinations,84,"How might hallucinations resemble conspiracy theories?"
Hallucinations,85,"Why does AI sometimes generate names that don’t exist?"
Hallucinations,86,"How might hallucinations be mistaken for rare knowledge?"
Hallucinations,87,"What risks do hallucinations pose in medical diagnostics?"
Hallucinations,88,"Why are hallucinations common in long, detailed answers?"
Hallucinations,89,"How do hallucinations affect reproducibility of research?"
Hallucinations,90,"What makes hallucinations sound persuasive?"
Hallucinations,91,"Why might hallucinations lead to overconfidence in AI?"
Hallucinations,92,"How could hallucinations waste time in academic research?"
Hallucinations,93,"What risks do hallucinations pose in legal contracts?"
Hallucinations,94,"How might hallucinations distort public records?"
Hallucinations,95,"Why might hallucinations look like authoritative explanations?"
Hallucinations,96,"How do hallucinations compare to human memory errors?"
Hallucinations,97,"Why might hallucinations increase with vague prompts?"
Hallucinations,98,"How might hallucinations affect AI-human collaboration?"
Hallucinations,99,"What steps can you take to recognize hallucinations quickly?"
Hallucinations,100,"Why might hallucinations undermine the value of fact-checking?"
Responsibility and Use,1,"Who is responsible if the AI provides false information that someone acts upon?"
Responsibility and Use,2,"What responsibility do students have when using AI for assignments?"
Responsibility and Use,3,"How should researchers treat AI-generated information in their work?"
Responsibility and Use,4,"What ethical obligations arise when using AI for fact-checking?"
Responsibility and Use,5,"Who bears the blame if AI outputs cause harm?"
Responsibility and Use,6,"What role should human judgment play alongside AI use?"
Responsibility and Use,7,"When is it acceptable to rely on AI without additional verification?"
Responsibility and Use,8,"What consequences could come from misusing AI answers?"
Responsibility and Use,9,"How can overreliance on AI weaken critical thinking?"
Responsibility and Use,10,"What responsibilities do designers of AI systems have?"
Responsibility and Use,11,"How should students cite AI-generated information?"
Responsibility and Use,12,"What happens if AI is used to replace independent research?"
Responsibility and Use,13,"How should errors from AI be corrected in academic work?"
Responsibility and Use,14,"What risks come from treating AI as an authority?"
Responsibility and Use,15,"Who ensures accountability for AI hallucinations?"
Responsibility and Use,16,"What responsibilities do users have when sharing AI outputs?"
Responsibility and Use,17,"How should teachers respond if students rely too heavily on AI?"
Responsibility and Use,18,"What responsibilities do institutions have in teaching AI literacy?"
Responsibility and Use,19,"How should journalists treat AI-generated information?"
Responsibility and Use,20,"What ethical lines should not be crossed in AI use?"
Responsibility and Use,21,"What responsibility does a user have to fact-check AI outputs?"
Responsibility and Use,22,"How should professionals use AI in high-stakes contexts?"
Responsibility and Use,23,"What are the dangers of attributing human-like authority to AI?"
Responsibility and Use,24,"What responsibility do companies have when their AI makes mistakes?"
Responsibility and Use,25,"How does informed consent relate to AI-generated advice?"
Responsibility and Use,26,"What responsibility do governments have in regulating AI use?"
Responsibility and Use,27,"What happens if AI is used in place of expert consultation?"
Responsibility and Use,28,"How can responsibility be shared between AI developers and users?"
Responsibility and Use,29,"What role should transparency play in AI use?"
Responsibility and Use,30,"How do responsibilities differ between personal and professional AI use?"
Responsibility and Use,31,"Who is accountable if AI misinformation spreads widely?"
Responsibility and Use,32,"How should medical professionals treat AI outputs?"
Responsibility and Use,33,"What risks do students face if they delegate too much responsibility to AI?"
Responsibility and Use,34,"How does intellectual honesty apply to AI use in research?"
Responsibility and Use,35,"What safeguards should users take when applying AI outputs?"
Responsibility and Use,36,"How should AI be treated in legal decision-making?"
Responsibility and Use,37,"What responsibilities do teachers have in guiding AI use?"
Responsibility and Use,38,"How should responsibility be divided in AI-assisted collaboration?"
Responsibility and Use,39,"What ethical challenges arise from AI use in education?"
Responsibility and Use,40,"What is the user’s role in preventing AI misuse?"
Responsibility and Use,41,"What happens when people shift responsibility from themselves to AI?"
Responsibility and Use,42,"What are the consequences of blind trust in AI outputs?"
Responsibility and Use,43,"What role should skepticism play in responsible AI use?"
Responsibility and Use,44,"What obligations do publishers have if AI is used in content creation?"
Responsibility and Use,45,"What responsibility do engineers have for unintended AI consequences?"
Responsibility and Use,46,"How should policymakers treat AI-generated recommendations?"
Responsibility and Use,47,"What responsibility comes with relying on AI in public communication?"
Responsibility and Use,48,"How should AI be integrated responsibly into classrooms?"
Responsibility and Use,49,"What responsibilities do students have in acknowledging AI assistance?"
Responsibility and Use,50,"What role does accountability play in AI adoption?"
Responsibility and Use,51,"Who should be held responsible for AI bias?"
Responsibility and Use,52,"What responsibilities do businesses have when deploying AI tools?"
Responsibility and Use,53,"How should plagiarism policies address AI-generated text?"
Responsibility and Use,54,"What responsibility do individuals have in questioning AI?"
Responsibility and Use,55,"What risks come from outsourcing ethical judgment to AI?"
Responsibility and Use,56,"What responsibility do researchers have when training AI on biased data?"
Responsibility and Use,57,"How should responsibility be handled in AI-assisted journalism?"
Responsibility and Use,58,"What happens if students submit AI-generated work as their own?"
Responsibility and Use,59,"What responsibilities come with using AI in healthcare?"
Responsibility and Use,60,"Who is liable if AI-generated advice causes financial loss?"
Responsibility and Use,61,"How should professionals disclose AI use in their work?"
Responsibility and Use,62,"What obligations do users have when AI makes errors?"
Responsibility and Use,63,"What responsibility do educators have in teaching AI limitations?"
Responsibility and Use,64,"How should courts handle AI-generated evidence?"
Responsibility and Use,65,"What are the dangers of shifting too much responsibility to AI?"
Responsibility and Use,66,"What responsibility do journalists have in fact-checking AI?"
Responsibility and Use,67,"Who should regulate the responsible use of AI tools?"
Responsibility and Use,68,"How should responsibility be shared in AI-human teams?"
Responsibility and Use,69,"What obligations do AI companies have to inform users of risks?"
Responsibility and Use,70,"What ethical principles should guide AI use in schools?"
Responsibility and Use,71,"How should governments balance innovation with responsibility?"
Responsibility and Use,72,"What responsibility do scientists have in reporting AI errors?"
Responsibility and Use,73,"How should students approach responsibility when citing AI?"
Responsibility and Use,74,"What risks emerge when AI is used without responsibility?"
Responsibility and Use,75,"What is the role of accountability in preventing AI misuse?"
Responsibility and Use,76,"What responsibility do employers have when requiring AI use?"
Responsibility and Use,77,"How should AI errors be reported responsibly?"
Responsibility and Use,78,"What happens if AI is treated as an infallible source?"
Responsibility and Use,79,"What responsibilities do librarians have in guiding AI use?"
Responsibility and Use,80,"How can shared responsibility reduce AI-related harm?"
Responsibility and Use,81,"What role does transparency play in ethical AI use?"
Responsibility and Use,82,"How should responsibility be framed in AI-assisted creative work?"
Responsibility and Use,83,"What obligations do universities have regarding AI?"
Responsibility and Use,84,"What risks arise from a lack of responsibility in AI governance?"
Responsibility and Use,85,"What responsibility do developers have in preventing AI misuse?"
Responsibility and Use,86,"What ethical concerns arise when AI replaces human judgment?"
Responsibility and Use,87,"How should responsibility be handled if AI influences elections?"
Responsibility and Use,88,"What responsibility do users have in recognizing AI limitations?"
Responsibility and Use,89,"How should AI mistakes be addressed in education?"
Responsibility and Use,90,"What happens when responsibility is diffused between users and systems?"
Responsibility and Use,91,"What responsibilities do policymakers have in setting AI standards?"
Responsibility and Use,92,"How should responsibility be shared when AI supports decision-making?"
Responsibility and Use,93,"What role does critical reflection play in responsible AI use?"
Responsibility and Use,94,"What risks arise if responsibility is ignored in AI use?"
Responsibility and Use,95,"What responsibility do media organizations have when using AI?"
Responsibility and Use,96,"How should responsibility be divided in AI-driven industries?"
Responsibility and Use,97,"What are the ethical implications of shifting responsibility to machines?"
Responsibility and Use,98,"How should accountability for AI outputs be ensured?"
Responsibility and Use,99,"What role does user responsibility play in mitigating AI risks?"
Responsibility and Use,100,"How should responsibility guide AI’s role in society?"
Transparency,1,"How clearly does the AI explain where its information comes from?"
Transparency,2,"What happens if the AI does not disclose its sources?"
Transparency,3,"Why is it important to know when the AI is uncertain?"
Transparency,4,"How can you tell if the AI is hiding its limitations?"
Transparency,5,"What role does transparency play in trusting AI outputs?"
Transparency,6,"How might a lack of transparency mislead users?"
Transparency,7,"Why should AI systems reveal their data sources?"
Transparency,8,"What happens if users assume the AI is fully transparent?"
Transparency,9,"How should the AI communicate its decision-making process?"
Transparency,10,"What risks arise when AI appears more transparent than it is?"
Transparency,11,"How do you know if the AI is making assumptions?"
Transparency,12,"Why is it important to know how recent the AI’s knowledge is?"
Transparency,13,"What does it mean for AI to be a ‘black box’?"
Transparency,14,"How might hidden biases go unnoticed without transparency?"
Transparency,15,"What questions should you ask about how AI generates answers?"
Transparency,16,"Why is it important to know the limits of AI capabilities?"
Transparency,17,"How can transparency reduce misuse of AI?"
Transparency,18,"What happens if AI fails to disclose uncertainty?"
Transparency,19,"Why should AI systems show how they rank sources?"
Transparency,20,"How can transparency affect accountability in AI use?"
Transparency,21,"What role does disclosure play in evaluating AI answers?"
Transparency,22,"Why should AI communicate when it cannot find reliable evidence?"
Transparency,23,"How does lack of transparency increase the risk of misinformation?"
Transparency,24,"What signs suggest that an AI system is not transparent?"
Transparency,25,"Why might companies avoid full transparency in AI systems?"
Transparency,26,"What responsibility do developers have to ensure transparency?"
Transparency,27,"How does transparency help users identify hallucinations?"
Transparency,28,"Why might AI hide the limitations of its training data?"
Transparency,29,"What could go wrong if users think AI is more capable than it is?"
Transparency,30,"Why is it important to disclose when AI is used in fact-checking?"
Transparency,31,"What questions should journalists ask about AI transparency?"
Transparency,32,"How does transparency help distinguish fact from opinion?"
Transparency,33,"What risks arise when AI confidence is mistaken for accuracy?"
Transparency,34,"Why is source transparency critical in academic contexts?"
Transparency,35,"How can AI better communicate gaps in knowledge?"
Transparency,36,"What happens when users don’t know how AI was trained?"
Transparency,37,"Why should users demand transparency from AI providers?"
Transparency,38,"How might transparency affect fairness in AI use?"
Transparency,39,"What questions should students ask about AI’s role in their work?"
Transparency,40,"Why does transparency matter more in high-stakes contexts?"
Transparency,41,"What information should AI reveal about its decision-making?"
Transparency,42,"How does transparency influence user trust?"
